Index,Institute code,College Name,Address
249,3472,"Thakur School of Architecture, Kandivali","Thakur Education Campus, Shamnarayan thakur marg, Thakur Village, Kandivali(E), Mumbai."
250,3474,"Ideal Institute of Architecture, Posheri, Wada","Gat No. 40-1 and 2, Pimpal Road, Poseri, Tal. Wada, Dist.Thane"
251,3475,"A. P. Shah Institute of Technology, Thane","Survey No. 12, Opp. Hypercity Mall, Kasarvadavali, Ghodbunder Road, Thane (W)"
252,3477,"Chhartrapati Shivaji Maharaj Institute of Technology, Shedung, Panvel","92A/1, Old Mumbai Pune Highway, Near Shedung Toll naka Village Shedung, Panvel, Dist Raigad"
253,3478,"CTES College of Architecture, Chembur, Mumbai.","N.G. Acharya Marg, Chembur, Mumbai."
254,3479,"Shivgiita Institute of Diploma in Pharmacy, Asangaon.","Opp. Asangaon Railway Station, Asangaon, Dist.Thane"
255,3480,"Yashwantrao Bhonsale College of Pharmacy, A/P Charathe, Sawantwadi","Buidling No.2, A/P Charathe, Vazarwadi, Tal.Sawantwadi, Dist.Sindhudurg"
256,3481,"The Navkonkan Education Society's Institute of Management Studies, Chiplun","S.K.Patil Nagar, Mumbai Goa High way, Chiplun, Dist.Ratnagiri"
257,3482,"B.R. Harne College of Architecture, Karav, Vangani(W)","AT Village Karav, Vangani(West), Dist Thane "
258,3483,"Vishwaniketan College of Architecture, Art & Design, Khalapur","Survey No. 52, Kumbhivali Near Khalapur Toll Naka, off Mumbai-Pune, Expressway, Khalapur, Raigad"
259,3484,"Smt. K.L. Tiwari College of Architecture, Nalasopara, Palghar","Survey No. 185, 177, Near Mother Merry English School, Shri Prastha, Nalasopara, Dist Palghar"
260,3485,"St. Wilfred's Institute of Pharmacy, Panvel","old Mumbai-Pune Highway Near Shedoung Toll plaza, Raigad"
261,3486,"Shree Saraswati Institute of Pharmacy, At Post Tondavali, Kankavali","At Post Tondavali, Nandgaon-Ponda road, Taluka Kankavali, Dist.Sindhudurg"
262,3487,"Ideal Institute of Pharmacy, Wada","Ideal Foundation, Wada, Taluka Wada, District Palghar"
263,3488,"School of Environment and Architecture, Borivali","Eksar Road, Borivali(west), Mumbai."
264,3489,"Yashwantrao Bhonsale College of D. Pharmacy, Charathe Vazarwadi","Building NO.4, A/P Charathe Vazarwadi, Taluka Sawantwadi, Dist Sindhudurg"
265,3490,"VP College of Pharmacy, Madkhol, Sawantwadi","Gut No.286, At Post Madkhol, Taluka Sawantwadi, Dist Sindhudurg"
266,3492,"SBNM College of Pharmacy(D.Pharmacy), Mahad","Gut No.311 & 313, Achloli, Mahad, Raigad"
267,3493,"Shri Angarsiddha Shikshan Prasarak Mandal's ASPM College of Pharmacy, Sangulwadi","At Post Sangulwadi, Tal Vaibhavwadi, Dist. Sindhudurg"
268,3494,"Smt. Jayshree Sharadchandra Kothari Business School, Dadar, Mumbai","DES Mumbai Campus, Kirti College Road, Veer Savarkar Marg, Mumbai"
269,3495,"Vasantdada Patil Pratishthan's Manohar Phalke College of Architecture, Sion-Chunabhatti, Mumbai","Vasantdada Patil Educational Complex, Eastern Express Highway, Sion-Chunabhatti, Mumbai."
270,3496,"Vivekanand Education Society's  College of Architecture, Chembur, Mumbai","Hashu Advani Memorial Complex, Behind Collector Colony, R.C. Marg, Chembur, Mumbai"
271,3497,"S.K. Education Trust's Dr. Manoj A. Shete College of Architecture,  Kasara","At post Kasara, Taluka  Shahapur, Dist.Thane"
272,3498,"Sasmiras Business School, Worli, Mumbai","Sasmira Marg Worli Mumbai - 400030 , Mumbai, Mumbai City , Maharashtra 400030"
273,3499,"M.S. College Of Pharmacy, Devghar","Sy. No. 120, Devghar,  Taluka : Wada Dist: Palghar, Thane"
274,3500,"Vijayrao Naik College Of  Pharmacy, Shirval","A/P Shirval, Tal-Kankavli, Dist. Sindhudurg"
275,3501,"Siddhis Institute Of Pharmacy, Nandgaon",At.Post Nandgaon Tal. Murbad Dist  Thane
276,3503,"Indala College Of Engineering, Bapsai Tal.Kalyan","Near Hp Gagangiri Petrol Pump, Kalyan-Murbad Road, Bapsai, Taluka Kalyan, Dist Thane "
277,3504,"Raigad College Of Pharmacy, Mohopre","Mohopre, Tal. Mahad, Dist. Raigad"
278,3505,"Abhinav Institute Of Pharmacy, Chinchpada","4/3 B Chinchpada,, Taluka Ambernath, District Thane"
279,3506,"Shri. Pandit Baburao Chaughule College Of Pharmacy, Rahanal","At/Po. Rahanal, Anjur Phata, Jakat Naka, Bhiwandi"
280,3507,"Indala School of Architechture, Bapsai Tal.Kalyan","Near Hp Gagangiri Petrol Pump, Kalyan-Murbad Road, Bapsai, Kalyan  421301"
281,3508,"B.K. Patil Institute of Pharmacy, Taloja, Panvel","Shiv Mandir, Taloja, Taluka Panvel Dist.Raigad"
